model_name,model_group,train_type,num_samples,abstain_accuracy,abstain_accuracy_ci_low,abstain_accuracy_ci_high,abstain_f1,abstain_precision,abstain_recall,embedding_similarity_adjusted_mean,embedding_similarity_ci_low,embedding_similarity_ci_high,token_overlap_mean,token_overlap_ci_low,token_overlap_ci_high,exact_match_rate,teacher_abstain_rate,student_abstain_rate,abstain_specificity,true_positives,true_negatives,false_positives,false_negatives,embedding_similarity_mean,embedding_similarity_std,embedding_similarity_median,embedding_similarity_adjusted_std,token_overlap_std,count_teacher_abstain_student_answer,count_both_answer,count_both_abstain,count_teacher_answer_student_abstain,pct_teacher_abstain_student_answer,pct_both_answer,pct_both_abstain,pct_teacher_answer_student_abstain
Qwen2.5-0.5B-Instruct-base,Qwen 2.5 0.5B,Base,1886,0.4178154825026511,0.3952313180764687,0.43974576279240846,0.3616279069767442,0.7775,0.2356060606060606,0.36754456759763293,0.34649214125348954,0.38801594535857503,0.08226697789295631,0.07573860412909633,0.08958429836420677,0.16755037115588547,0.6998939554612937,0.21208907741251326,0.842756183745583,311,477,89,1009,0.6506064180063627,0.14883773263838185,0.63712803,0.4424253845211884,0.1467372772247472,1009,477,311,89,53.49946977730647,25.291622481442204,16.489925768822904,4.71898197242842
Qwen2.5-0.5B-Instruct-full-finetune,Qwen 2.5 0.5B,Full Finetune,1886,0.6940615058324496,0.6727020098081445,0.7145347710871144,0.8024649092776447,0.7320424734540912,0.8878787878787879,0.6854158355474219,0.6643293991430921,0.7054777159806723,0.5549820498732898,0.5330855421920524,0.5759568487015522,0.6246023329798516,0.6998939554612937,0.8488865323435844,0.2420494699646643,1172,137,429,148,0.8180828831760341,0.21796392368976547,1.0,0.4568939329279423,0.46857296981192675,148,137,1172,429,7.84729586426299,7.264050901378578,62.142099681866384,22.746553552492045
Qwen2.5-0.5B-Instruct-lora,Qwen 2.5 0.5B,LoRA,1886,0.7099681866383881,0.689289501590668,0.7295864262990456,0.8153898076274047,0.7352404138770542,0.9151515151515152,0.7006072857410253,0.6794513384231543,0.7200706257152067,0.5676136378324391,0.5470089204776745,0.5882647305410842,0.6415694591728526,0.6998939554612937,0.8711558854718982,0.2314487632508834,1208,131,435,112,0.8243188670466597,0.21641956480631833,1.0,0.44991901095902775,0.4697419101055479,112,131,1208,435,5.938494167550371,6.945917285259809,64.050901378579,23.064687168610817
Qwen2.5-1.5B-Instruct-base,Qwen 2.5 1.5B,Base,1886,0.7205726405090138,0.6993637327677624,0.7399146697193191,0.8001516875237011,0.8010630220197419,0.7992424242424242,0.6998845677455435,0.6795760538730008,0.7188711486809654,0.49322035904897843,0.4730610872821259,0.5144695613770998,0.5683987274655355,0.6998939554612937,0.6983032873806999,0.5371024734982333,1055,304,262,265,0.8140189988069989,0.20621255673292874,0.913044725,0.441149304048357,0.4549124888918059,265,304,1055,262,14.050901378579002,16.118769883351007,55.93849416755037,13.891834570519618
Qwen2.5-1.5B-Instruct-lora,Qwen 2.5 1.5B,LoRA,1886,0.7682926829268293,0.7476397499215918,0.7868504772004242,0.8453097345132743,0.7933554817275748,0.9045454545454545,0.7569134558056217,0.7371303713676473,0.7754305546362182,0.5948927893972946,0.5751935381484893,0.6154510269720175,0.6447507953340403,0.6998939554612937,0.7979851537645811,0.450530035335689,1194,255,311,126,0.8529573235312831,0.1991275162849525,1.0,0.41768934919602946,0.45384583376558824,126,255,1194,311,6.680805938494168,13.520678685047722,63.3085896076352,16.489925768822904
Qwen2.5-3B-Instruct-base,Qwen 2.5 3B,Base,1886,0.7444326617179216,0.7232237539766702,0.7635206786850477,0.8076616121308858,0.8532883642495784,0.7666666666666667,0.7278641103623654,0.7069487996979675,0.7461172605879637,0.5320624256015507,0.5113039654308462,0.5529580521335179,0.5620360551431601,0.6998939554612937,0.6288441145281018,0.6925795053003534,1012,392,174,308,0.8354947336161187,0.2005452062620262,0.9594735000000001,0.42929910212018885,0.4480116947918128,308,392,1012,174,16.33085896076352,20.784729586426298,53.65853658536586,9.225874867444327
Qwen2.5-3B-Instruct-full-finetune,Qwen 2.5 3B,Full Finetune,1886,0.7895015906680806,0.7715904859160755,0.8081985971776751,0.8616242593238062,0.7979341510652034,0.9363636363636364,0.7793024082767875,0.7615320152591698,0.7974560621746631,0.6249383765293277,0.6043690270784491,0.6454128399151675,0.6749734888653235,0.6998939554612937,0.8213149522799575,0.4469964664310954,1236,253,313,84,0.8631842187115588,0.1967672867729398,1.0,0.40456121542267254,0.44817642379490563,84,253,1236,313,4.453870625662779,13.414634146341465,65.5355249204666,16.59597030752916
Qwen2.5-3B-Instruct-lora,Qwen 2.5 3B,LoRA,1886,0.8229056203605515,0.8068563120052594,0.8414634146341463,0.8806290207290922,0.8335588633288228,0.9333333333333333,0.8104199068038107,0.7943738077898059,0.8280840484652237,0.6365934413531935,0.6157027292920069,0.6548679808305318,0.6744432661717922,0.6998939554612937,0.7836691410392365,0.5653710247349824,1232,320,246,88,0.878455643292683,0.1832485251307629,1.0,0.37826205840330074,0.4384562839693218,88,320,1232,246,4.665959703075292,16.96712619300106,65.32343584305409,13.043478260869565
Qwen2.5-7B-Instruct-base,Qwen 2.5 7B,Base,1886,0.8186638388123012,0.8005257361970299,0.8366914103923648,0.8816608996539792,0.8114649681528663,0.9651515151515152,0.8111015915048969,0.7927351776141037,0.8284552698506981,0.6698403357961248,0.6496499804586106,0.6893093565495325,0.7067868504772005,0.6998939554612937,0.8324496288441146,0.47703180212014135,1274,270,296,46,0.8815579274337223,0.1862588441026632,1.0,0.383063642839523,0.4316493929894608,46,270,1274,296,2.4390243902439024,14.316012725344645,67.55037115588547,15.69459172852598
Qwen2.5-7B-Instruct-lora,Qwen 2.5 7B,LoRA,1886,0.865323435843054,0.8502465957523347,0.88016967126193,0.9066862601028656,0.8801711840228246,0.9348484848484848,0.8510923822699776,0.8363639086109306,0.866111268073775,0.6613387486054527,0.6423541547013683,0.679826687367743,0.676033934252386,0.6998939554612937,0.7433722163308589,0.7031802120141343,1234,398,168,86,0.8996799793849417,0.16553536569150137,1.0,0.3386994607259579,0.42091360487264146,86,398,1234,168,4.559915164369035,21.10286320254507,65.42948038176034,8.907741251325557
