model_name,model_group,train_type,teacher,count,teacher_abstain_rate,teacher_abstain_count,student_abstain_rate,student_abstain_count,abstain_accuracy,abstain_f1,abstain_precision,abstain_recall,embedding_similarity_mean,embedding_similarity_std,token_overlap_mean,token_overlap_std,exact_match_rate
Qwen2.5-0.5B-Instruct-base,Qwen 2.5 0.5B,Base,gpt-4o,1886,0.6998939554612937,1320,0.21208907741251326,400,0.4178154825026511,0.3616279069767442,0.7775,0.2356060606060606,0.36754456759763293,0.4424253845211884,0.08226697789295631,0.1467372772247472,0.16755037115588547
Qwen2.5-0.5B-Instruct-full-finetune,Qwen 2.5 0.5B,Full Finetune,gpt-4o,1886,0.6998939554612937,1320,0.8488865323435844,1601,0.6940615058324496,0.8024649092776447,0.7320424734540912,0.8878787878787879,0.6854158355474219,0.4568939329279423,0.5549820498732898,0.46857296981192675,0.6246023329798516
Qwen2.5-0.5B-Instruct-lora,Qwen 2.5 0.5B,LoRA,gpt-4o,1886,0.6998939554612937,1320,0.8711558854718982,1643,0.7099681866383881,0.8153898076274047,0.7352404138770542,0.9151515151515152,0.7006072857410253,0.44991901095902775,0.5676136378324391,0.4697419101055479,0.6415694591728526
Qwen2.5-1.5B-Instruct-base,Qwen 2.5 1.5B,Base,gpt-4o,1886,0.6998939554612937,1320,0.6983032873806999,1317,0.7205726405090138,0.8001516875237011,0.8010630220197419,0.7992424242424242,0.6998845677455435,0.441149304048357,0.49322035904897843,0.4549124888918059,0.5683987274655355
Qwen2.5-1.5B-Instruct-lora,Qwen 2.5 1.5B,LoRA,gpt-4o,1886,0.6998939554612937,1320,0.7979851537645811,1505,0.7682926829268293,0.8453097345132743,0.7933554817275748,0.9045454545454545,0.7569134558056217,0.41768934919602946,0.5948927893972946,0.45384583376558824,0.6447507953340403
Qwen2.5-3B-Instruct-base,Qwen 2.5 3B,Base,gpt-4o,1886,0.6998939554612937,1320,0.6288441145281018,1186,0.7444326617179216,0.8076616121308858,0.8532883642495784,0.7666666666666667,0.7278641103623654,0.42929910212018885,0.5320624256015507,0.4480116947918128,0.5620360551431601
Qwen2.5-3B-Instruct-full-finetune,Qwen 2.5 3B,Full Finetune,gpt-4o,1886,0.6998939554612937,1320,0.8213149522799575,1549,0.7895015906680806,0.8616242593238062,0.7979341510652034,0.9363636363636364,0.7793024082767875,0.40456121542267254,0.6249383765293277,0.44817642379490563,0.6749734888653235
Qwen2.5-3B-Instruct-lora,Qwen 2.5 3B,LoRA,gpt-4o,1886,0.6998939554612937,1320,0.7836691410392365,1478,0.8229056203605515,0.8806290207290922,0.8335588633288228,0.9333333333333333,0.8104199068038107,0.37826205840330074,0.6365934413531935,0.4384562839693218,0.6744432661717922
Qwen2.5-7B-Instruct-base,Qwen 2.5 7B,Base,gpt-4o,1886,0.6998939554612937,1320,0.8324496288441146,1570,0.8186638388123012,0.8816608996539792,0.8114649681528663,0.9651515151515152,0.8111015915048969,0.383063642839523,0.6698403357961248,0.4316493929894608,0.7067868504772005
Qwen2.5-7B-Instruct-lora,Qwen 2.5 7B,LoRA,gpt-4o,1886,0.6998939554612937,1320,0.7433722163308589,1402,0.865323435843054,0.9066862601028656,0.8801711840228246,0.9348484848484848,0.8510923822699776,0.3386994607259579,0.6613387486054527,0.42091360487264146,0.676033934252386
gemma-3-270m-it-base,Gemma 270M,Base,gpt-4o,1886,0.6998939554612937,1320,0.6081654294803818,1147,0.5742311770943797,0.6745034454803405,0.7253705318221447,0.6303030303030303,0.5436426854493889,0.47555455979589667,0.2726904209091837,0.385690344156928,0.4411452810180276
gemma-3-270m-it-lora,Gemma 270M,LoRA,gpt-4o,1886,0.6998939554612937,1320,0.8860021208907741,1671,0.7046659597030753,0.8137746573052491,0.7283064033512866,0.921969696969697,0.6923706626967939,0.4518067379238729,0.5653466160184193,0.47339337151341015,0.6463414634146342
