model_name,model_family,training_type,model_type,t1_num_samples,t1_exact_match_avg,t1_token_overlap_avg,t1_abstain_agreement_rate,t1_teacher_abstain_rate,t1_student_abstain_rate,t1_embedding_similarity_avg,t1_embedding_similarity_adjusted_avg,t2_num_samples,t2_accuracy,t2_macro_f1,t2_weighted_f1,t2_macro_precision,t2_macro_recall,t2_valid_predictions
gemma-270m-base,Gemma 270M,Base,base,1886,0.42576882290562035,0.27217224434437093,0.5615058324496288,0.6998939554612937,0.5901378579003181,0.7354108998416385,0.529153786259896,1718,0.4915254237288136,0.4628305421857482,0.46474353428861925,0.48510980388666897,0.48808005680347466,1298
gemma-270m-task1-lora,Gemma 270M,Task1 LoRA,lora,1886,0.6431601272534464,0.5681039612374126,0.6988335100742312,0.6998939554612937,0.8854718981972428,0.8189143029905681,0.6877569465217509,1718,0.514792899408284,0.4034951790633609,0.41843651686309036,0.47553783204935585,0.4913971423111081,845
gemma-270m-task2-lora,Gemma 270M,Task2 LoRA,lora,1886,0.679745493107105,0.4312594300902869,0.6898197242841994,0.6998939554612937,0.9697773064687168,0.7489287284373731,0.6849181657283708,1718,0.7764842840512224,0.7738906551396527,0.7738906551396527,0.7897801924647563,0.7764842840512223,1718
gemma-270m-task12-lora,Gemma 270M,Task12 LoRA,lora,1886,0.6256627783669141,0.5416558609363706,0.6728525980911984,0.6998939554612937,0.8753976670201484,0.8058720445398818,0.6638003274213724,1718,0.7409144196951934,0.7364516110993055,0.7365320220649972,0.7577579213467431,0.7406133822609795,1706
gemma-1b-base,Gemma 1B,Base,base,1886,0.21367974549310711,0.18375817708106545,0.47348886532343587,0.6998939554612937,0.24973488865323437,0.7012559370644399,0.4324007908777114,1718,0.4907792980368828,0.3402257362839714,0.34003824741503874,0.3962155586243178,0.49106364305531963,1681
gemma-1b-task1-lora,Gemma 1B,Task1 LoRA,lora,1886,0.6383881230116649,0.599412814414378,0.7693531283138918,0.6998939554612937,0.7905620360551432,0.8531359208793174,0.7501371311199627,1718,0.5065243179122183,0.47219245542003296,0.4725118215827509,0.5079787284464372,0.5059220848665649,1686
gemma-1b-task2-lora,Gemma 1B,Task2 LoRA,lora,1886,0.6829268292682927,0.37961551706069513,0.6924708377518558,0.6998939554612937,0.9734888653234358,0.7575220439745032,0.6887472302890911,1718,0.7611673615247171,0.7596819979319086,0.7596482396684358,0.768088968727891,0.7613102653676864,1679
gemma-1b-task12-lora,Gemma 1B,Task12 LoRA,lora,1886,0.6166489925768823,0.5691885307444828,0.7279957582184517,0.6998939554612937,0.7895015906680806,0.8342769041926651,0.7100184856107101,1718,0.7799525504151839,0.7790626908457949,0.7790793237349424,0.7843741823500564,0.7798783645349033,1686
Qwen2.5-0.5B-base,Qwen 0.5B,Base,base,1886,0.16012725344644752,0.08383015931867008,0.41251325556733826,0.6998939554612937,0.20254506892895016,0.6514061855138422,0.36314449858311504,1718,0.4947613504074505,0.34850550126522106,0.3485055012652211,0.4486551105797968,0.4947613504074505,1718
Qwen2.5-0.5B-task1-lora,Qwen 0.5B,Task1 LoRA,lora,1886,0.647932131495228,0.5776014553580142,0.717391304347826,0.6998939554612937,0.8700954400848356,0.8279254549220006,0.7072864437785912,1718,0.490599294947121,0.3624765891814476,0.3624765891814476,0.4520671397994818,0.49059929494712107,1702
Qwen2.5-0.5B-task2-lora,Qwen 0.5B,Task2 LoRA,lora,1886,0.651643690349947,0.39658402336218845,0.6786850477200425,0.6998939554612937,0.9236479321314952,0.7913915422821095,0.6736313291565611,1718,0.7828870779976718,0.7809634458263818,0.7809634458263818,0.793186414967133,0.7828870779976718,1718
Qwen2.5-0.5B-task12-lora,Qwen 0.5B,Task12 LoRA,lora,1886,0.6686108165429481,0.5937730472998926,0.7099681866383881,0.6998939554612937,0.9241781548250265,0.8283308397579547,0.7041248031916573,1718,0.7811408614668219,0.7805651237524543,0.7805651237524545,0.7841227057387861,0.7811408614668218,1718
Qwen2.5-1.5B-base,Qwen 1.5B,Base,base,1886,0.5779427359490986,0.49942698667008456,0.7279957582184517,0.6998939554612937,0.7036055143160127,0.8181156388238024,0.7077647304737176,1718,0.4959254947613504,0.3375608435548131,0.33756084355481314,0.4068647191846597,0.4959254947613504,1718
Qwen2.5-1.5B-task1-lora,Qwen 1.5B,Task1 LoRA,lora,1886,0.6420996818663839,0.5989470156611346,0.7688229056203606,0.6998939554612937,0.7932131495227995,0.8540953362670708,0.757182887130173,1718,0.4935972060535506,0.3304754481683554,0.3304754481683554,0.24838898652606914,0.4935972060535506,1718
Qwen2.5-1.5B-task2-lora,Qwen 1.5B,Task2 LoRA,lora,1886,0.6755037115588547,0.32635466495829124,0.6834570519618239,0.6998939554612937,0.9676564156945917,0.7403483128497103,0.6804224158363655,1718,0.7130384167636787,0.7084726907626375,0.7084726907626376,0.7272762760678719,0.7130384167636787,1718
Qwen2.5-1.5B-task12-lora,Qwen 1.5B,Task12 LoRA,lora,1886,0.6659597030752916,0.6065764766476498,0.7523860021208908,0.6998939554612937,0.8637327677624602,0.8465351166238203,0.7431397136233644,1718,0.7485448195576252,0.748173161489267,0.748173161489267,0.75002079002079,0.7485448195576252,1718
Qwen2.5-3B-base,Qwen 3B,Base,base,1886,0.5604453870625663,0.5361571650404177,0.7423117709437964,0.6998939554612937,0.6277836691410392,0.8350816219887071,0.7258678532797105,1718,0.4976717112922002,0.34230818538268437,0.34230818538268437,0.45774301456119637,0.4976717112922002,1718
Qwen2.5-3B-task1-lora,Qwen 3B,Task1 LoRA,lora,1886,0.6786850477200425,0.6457173865210851,0.8229056203605515,0.6998939554612937,0.7932131495227995,0.8805976778205606,0.8111887213913279,1718,0.4935972060535506,0.3304754481683554,0.3304754481683554,0.24838898652606914,0.4935972060535506,1718
Qwen2.5-3B-task2-lora,Qwen 3B,Task2 LoRA,lora,1886,0.6224814422057264,0.5555568401006843,0.7089077412513256,0.6998939554612937,0.8160127253446448,0.821338367993101,0.701296658904024,1718,0.7904540162980209,0.7881282192877042,0.788128219287704,0.8037934402202185,0.7904540162980209,1718
Qwen2.5-3B-task12-lora,Qwen 3B,Task12 LoRA,lora,1886,0.6659597030752916,0.6321881980221226,0.7990455991516436,0.6998939554612937,0.805408271474019,0.871199394473979,0.7895827053997702,1718,0.7776484284051223,0.775653612645627,0.7756536126456269,0.7878876449650594,0.7776484284051222,1718
