model_name,model_group,train_type,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,valid_predictions,total_samples,f1_query_formulator,f1_chatnoir_retriever,f1_opensearch_retriever,f1_reranker,f1_deduplicator,f1_answer_drafter,f1_finish,avg_inference_time_ms,total_eval_time_s
Qwen2.5-7B-Base,Qwen 2.5 7B,Base,0.03617571059431524,0.037839183470251433,0.1625,0.07208237986270023,0.027800452727072728,387,975,0.0,0.05128205128205128,0.21359223300970873,0.0,0.0,0.0,0.0,115.79828237875914,114.00406646728516
Qwen2.5-7B-LoRA,Qwen 2.5 7B,LoRA,0.6061538461538462,0.33452147876355115,0.37598322014364133,0.38799013639226204,0.5427747534594517,975,975,0.0,0.6626506024096386,0.6946564885496184,0.015037593984962405,0.0,0.7178770949720671,0.25142857142857145,59.21662990863506,58.61062526702881
Qwen2.5-0.5B-LoRA,Qwen 2.5 0.5B,LoRA,0.6,0.31736933781723936,0.36783485870759197,0.3777079354524858,0.526082643908123,975,975,0.0,0.6686746987951807,0.6870229007633588,0.015151515151515152,0.0,0.7140902872777017,0.13664596273291926,13.689239697578625,14.323127031326294
Qwen2.5-3B-Base,Qwen 2.5 3B,Base,0.22601984564498345,0.06741641337386019,0.05928571428571428,0.12423469387755103,0.11799291562082151,907,975,0.0,0.4319148936170213,0.04,0.0,0.0,0.0,0.0,110.46988756228717,108.39973974227905
Gemma3-270M-FullFT,Gemma 270M,Base,0.5394871794871795,0.2708731484766551,0.33879944345060625,0.3106552562871331,0.47103683325755435,975,975,0.0,0.6034214618973561,0.4978165938864629,0.029197080291970802,0.0,0.6717171717171717,0.09395973154362416,18.58565892928686,18.843064785003662
Gemma3-270M-LoRA,Gemma 270M,LoRA,0.563076923076923,0.3106291282666992,0.34477347760098265,0.34489038454688886,0.5147015223505339,975,975,0.0,0.6109324758842444,0.5577689243027888,0.06666666666666667,0.0,0.7003994673768309,0.23863636363636365,14.600750116201548,14.798012256622314
Qwen2.5-0.5B-Base,Qwen 2.5 0.5B,Base,0.0,0.0,0.0,0.0,0.0,622,975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.757269247984276,31.104767322540283
Qwen2.5-3B-LoRA,Qwen 2.5 3B,LoRA,0.6051282051282051,0.3313578090861104,0.47521181767292076,0.38551417929534704,0.5390940874939145,975,975,0.0,0.6676691729323309,0.694980694980695,0.015384615384615385,0.0,0.7128987517337032,0.22857142857142856,39.1794317196577,39.08973789215088
Gemma3-270M-Base,Gemma 270M,Base,0.14051282051282052,0.035232094638035234,0.02009386916984453,0.14285714285714285,0.03465392693115465,975,975,0.0,0.0,0.0,0.0,0.0,0.0,0.24662466246624662,35.60687162937262,35.38290500640869
Qwen2.5-1.5B-LoRA,Qwen 2.5 1.5B,LoRA,0.5825641025641025,0.31674937732463615,0.3283486088182408,0.3653459808800784,0.5251618810337285,975,975,0.0,0.643609022556391,0.6254826254826255,0.014492753623188406,0.0,0.7138810198300283,0.21978021978021978,19.87404432052221,20.141027688980103
Gemma3-1B-LoRA,Gemma 270M,LoRA,0.5753846153846154,0.31596394352238877,0.3259159090983868,0.36452536971562466,0.5181924716488409,975,975,0.0,0.6411042944785276,0.6511627906976745,0.027972027972027972,0.0,0.6937062937062937,0.1978021978021978,25.852041978102463,26.13449239730835
Qwen2.5-0.5B-FullFT,Qwen 2.5 0.5B,Base,0.5856410256410256,0.31164397888930256,0.36204706191292374,0.3566667749185766,0.5174870171945526,975,975,0.0,0.6534954407294833,0.6440677966101694,0.04285714285714286,0.0,0.7018469656992085,0.13924050632911392,14.608149895301231,15.2991783618927
Gemma3-1B-FullFT,Gemma 270M,Base,0.563076923076923,0.29570169432706483,0.29588571693338145,0.34288275945410085,0.4972010702428482,975,975,0.0,0.6291079812206573,0.628099173553719,0.013888888888888888,0.0,0.6903820816864296,0.10843373493975904,27.212009674463516,27.369455099105835
Qwen2.5-1.5B-Base,Qwen 2.5 1.5B,Base,0.3167259786476868,0.09595129143544255,0.09917898193760262,0.12847439228972732,0.2318744198613099,562,975,0.0,0.17872340425531916,0.0,0.0,0.0,0.49293563579277866,0.0,51.86497199229705,51.25870871543884
Qwen2.5-3B-FullFT,Qwen 2.5 3B,Base,0.5846153846153846,0.32807479023456415,0.3364995921792899,0.37301930718754095,0.5295173207794932,975,975,0.0,0.6550218340611353,0.6748971193415638,0.014598540145985401,0.0,0.6880466472303207,0.2639593908629442,39.58046962053348,39.39064002037048
Gemma3-1B-Base,Gemma 270M,Base,0.23858921161825727,0.09394374543497938,0.10148199807701543,0.11084200763085225,0.1948603618391434,964,975,0.0,0.014760147601476014,0.0,0.17712177121771217,0.0,0.440567066521265,0.025157232704402517,51.445303941384346,50.957202434539795
